pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,barrel
FF,2017-04-30,95.3,-2.3808,6.0912,Giancarlo Stanton,519317,641771,walk,ball,NA,NA,NA,NA,14,Giancarlo Stanton walks.,R,R,R,MIA,PIT,B,NA,NA,3,1,2017,-0.9914,1.5075,0.8313,1.6873,NA,NA,NA,0,4,Bot,NA,NA,NA,NA,455755,NA,170430_183038,10.6803,-137.8339,-9.2317,-15.2576,33.3168,-10.886,3.72,1.74,NA,NA,NA,94.98,2155,6.628,490471,641771,455755,605137,593700,543281,474568,570256,457705,444379,53.87,NA,NA,0.7,1,0,0,NA,31,5,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,NA
FF,2017-04-30,95.7,-2.2757,6.0381,Giancarlo Stanton,519317,641771,NA,ball,NA,NA,NA,NA,12,NA,R,R,R,MIA,PIT,B,NA,NA,2,1,2017,-1.0133,1.3938,0.9968,3.3127,NA,NA,NA,0,4,Bot,NA,NA,NA,NA,455755,NA,170430_183026,10.9366,-138.4996,-4.6392,-15.731,33.5948,-13.2775,3.72,1.74,NA,NA,NA,95.427,2090,6.617,490471,641771,455755,605137,593700,543281,474568,570256,457705,444379,53.8812,NA,NA,NA,NA,NA,NA,NA,31,4,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,NA
SL,2017-04-30,88.9,-2.4332,6.1028,Giancarlo Stanton,519317,641771,NA,swinging_strike,NA,NA,NA,NA,6,NA,R,R,R,MIA,PIT,S,NA,NA,2,0,2017,0.3723,0.973,0.7281,2.4382,NA,NA,NA,0,4,Bot,NA,NA,NA,NA,455755,NA,170430_183006,6.9238,-128.9037,-4.852,2.5994,27.8704,-20.6573,3.72,1.74,NA,NA,NA,88.081,2395,6.053,490471,641771,455755,605137,593700,543281,474568,570256,457705,444379,54.4447,NA,NA,NA,NA,NA,NA,NA,31,3,Slider,1,3,1,3,3,1,1,3,Standard,Standard,NA
FF,2017-04-30,94.6,-2.4547,6.045,Giancarlo Stanton,519317,641771,NA,ball,NA,NA,NA,NA,13,NA,R,R,R,MIA,PIT,B,NA,NA,1,0,2017,-1.0072,1.4101,-1.2047,1.9593,NA,NA,NA,0,4,Bot,NA,NA,NA,NA,455755,NA,170430_182955,5.5062,-136.9751,-7.9679,-14.0192,36.1151,-12.7239,3.72,1.74,NA,NA,NA,93.79,2244,6.52,490471,641771,455755,605137,593700,543281,474568,570256,457705,444379,53.9782,NA,NA,NA,NA,NA,NA,NA,31,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,NA
SI,2017-04-30,94,-2.4982,5.5621,Giancarlo Stanton,519317,641771,NA,ball,NA,NA,NA,NA,11,NA,R,R,R,MIA,PIT,B,NA,NA,0,0,2017,-1.2162,0.6652,-1.7906,3.4578,NA,NA,NA,0,4,Bot,NA,NA,NA,NA,455755,NA,170430_182944,4.5777,-136.6426,-1.2005,-16.4222,31.6032,-23.6993,3.72,1.74,NA,NA,NA,94.428,2157,6.699,490471,641771,455755,605137,593700,543281,474568,570256,457705,444379,53.7993,NA,NA,NA,NA,NA,NA,NA,31,1,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,NA
FF,2017-04-30,96.9,-2.3921,6.0832,Giancarlo Stanton,519317,641771,strikeout,called_strike,NA,NA,NA,NA,14,Giancarlo Stanton called out on strikes.,R,R,R,MIA,PIT,S,2,NA,3,2,2017,-1.1857,1.3773,0.8835,2.6454,NA,592885,NA,2,1,Bot,NA,NA,NA,NA,455755,NA,170430_174614,11.4201,-140.0667,-6.6396,-18.4089,35.0916,-12.6808,3.72,1.74,NA,NA,NA,96.169,2097,6.477,490471,641771,455755,605137,593700,543281,474568,570256,457705,444379,54.0209,NA,NA,0,1,0,0,NA,11,6,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,NA
FF,2017-04-30,96.8,-2.298,6.0432,Giancarlo Stanton,519317,641771,NA,called_strike,NA,NA,NA,NA,14,NA,R,R,R,MIA,PIT,S,NA,NA,3,1,2017,-1.1236,1.4294,0.9094,2.6796,NA,592885,NA,2,1,Bot,NA,NA,NA,NA,455755,NA,170430_174556,11.0714,-140.0191,-6.5315,-17.4788,35.4598,-12.0868,3.72,1.74,NA,NA,NA,95.97,2150,6.408,490471,641771,455755,605137,593700,543281,474568,570256,457705,444379,54.0895,NA,NA,NA,NA,NA,NA,NA,11,5,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,NA
SL,2017-04-30,89.9,-2.2283,5.7566,Giancarlo Stanton,519317,641771,NA,ball,NA,NA,NA,NA,13,NA,R,R,R,MIA,PIT,B,NA,NA,2,1,2017,0.448,0.6209,-0.063,1.2988,NA,NA,592885,2,1,Bot,NA,NA,NA,NA,455755,NA,170430_174518,4.4177,-130.5692,-6.3543,4.1768,27.8119,-23.9447,3.72,1.74,NA,NA,NA,89.779,2444,6.336,490471,641771,455755,605137,593700,543281,474568,570256,457705,444379,54.1615,NA,NA,NA,NA,NA,NA,NA,11,4,Slider,0,3,0,3,3,0,0,3,Standard,Standard,NA
FF,2017-04-30,94.8,-2.1279,5.9921,Giancarlo Stanton,519317,641771,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,MIA,PIT,B,NA,NA,1,1,2017,-1.2113,1.2934,1.1521,1.3769,NA,NA,592885,2,1,Bot,NA,NA,NA,NA,455755,NA,170430_174454,11.2168,-136.9396,-9.121,-17.8608,32.4663,-14.005,3.72,1.74,NA,NA,NA,94.09,2016,6.434,490471,641771,455755,605137,593700,543281,474568,570256,457705,444379,54.0637,NA,NA,NA,NA,NA,NA,NA,11,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,NA
SL,2017-04-30,90.2,-2.4756,6.002,Giancarlo Stanton,519317,641771,NA,foul,NA,NA,NA,NA,14,NA,R,R,R,MIA,PIT,S,NA,NA,1,0,2017,0.5034,1.0354,0.8673,2.5257,NA,NA,592885,2,1,Bot,NA,NA,NA,NA,455755,NA,170430_174430,7.1939,-130.708,-4.7243,4.0216,29.9739,-19.6755,3.72,1.74,43,51.5,-8.3,89.114,2367,6.039,490471,641771,455755,605137,593700,543281,474568,570256,457705,444379,54.4593,NA,NA,NA,NA,NA,NA,NA,11,2,Slider,0,3,0,3,3,0,0,3,Standard,Standard,0
SI,2017-04-30,95.1,-2.3719,5.9538,Giancarlo Stanton,519317,641771,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,MIA,PIT,B,NA,NA,0,0,2017,-1.477,0.9119,0.8882,1.8126,NA,NA,592885,2,1,Bot,NA,NA,NA,NA,455755,NA,170430_174412,11.8055,-137.526,-7.1109,-21.5185,33.2599,-19.1603,3.72,1.74,NA,NA,NA,94.407,2047,6.425,490471,641771,455755,605137,593700,543281,474568,570256,457705,444379,54.0726,NA,NA,NA,NA,NA,NA,NA,11,1,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,NA
FT,2017-04-29,92.5,-2.3328,6.1268,Giancarlo Stanton,519317,467100,strikeout,foul_tip,NA,NA,NA,NA,11,Giancarlo Stanton strikes out on a foul tip.,R,R,R,MIA,PIT,S,2,NA,2,2,2017,-1.3037,0.529,-0.93,3.3524,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,465041,NA,170430_011125,6.2747,-134.2033,-2.3492,-16.839,28.9225,-25.6231,3.8652,1.6012,NA,NA,NA,91.519,2169,5.844,490456,467100,465041,444379,547912,543281,474568,570256,457705,543611,54.6542,NA,NA,0,1,0,0,NA,51,5,2-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,NA
CU,2017-04-29,81.9,-2.2112,6.3101,Giancarlo Stanton,519317,467100,NA,ball,NA,NA,NA,NA,11,NA,R,R,R,MIA,PIT,B,NA,NA,1,2,2017,0.6516,-0.4873,-1.2889,3.7683,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,465041,NA,170430_011055,0.8577,-118.9974,1.7021,5.8456,23.1426,-37.2618,4.0395,2.0111,NA,NA,NA,80.638,2320,5.531,490456,467100,465041,444379,547912,543281,474568,570256,457705,543611,54.9668,NA,NA,NA,NA,NA,NA,NA,51,4,Curveball,0,3,0,3,3,0,0,3,Standard,Strategic,NA
FT,2017-04-29,92,-2.5103,6.4523,Giancarlo Stanton,519317,467100,NA,foul,NA,NA,NA,NA,13,NA,R,R,R,MIA,PIT,S,NA,NA,1,1,2017,-1.3646,0.8208,-0.8473,1.8972,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,465041,NA,170430_011031,6.9565,-133.1529,-7.2319,-17.345,30.033,-21.3177,3.8652,1.6012,NA,NA,NA,90.251,2193,5.627,490456,467100,465041,444379,547912,543281,474568,570256,457705,543611,54.8711,NA,NA,NA,NA,NA,NA,NA,51,3,2-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,NA
FF,2017-04-29,93.8,-2.2333,6.3115,Giancarlo Stanton,519317,467100,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,MIA,PIT,B,NA,NA,0,1,2017,-0.9363,1.3706,0.0901,1.0234,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,465041,NA,170430_011014,7.9207,-135.5905,-10.6963,-13.1167,29.857,-13.4091,4.0308,1.9937,NA,NA,NA,92.545,2295,5.915,490456,467100,465041,444379,547912,543281,474568,570256,457705,543611,54.5825,NA,NA,NA,NA,NA,NA,NA,51,2,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,NA
